Symbol,CompanyName,Industry,MarketCap
AGRI,AgriFORCE Growing Systems,Farm Products,833971
AGRO,Adecoagro,Farm Products,1123792920
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,5776818
AGS,PlayAGS,Gambling,293051354
AGTI,Agiliti,Health Information Services,1000542480
AGX,Argan,Engineering & Construction,563247823
AGYS,Agilysys,Software - Application,2133133331
AHCO,AdaptHealth,Medical Devices,1129309200
AHG,Akso Health Group,Credit Services,17835492
AHH,Armada Hoffler Properties,REIT - Diversified,806791167
AHI,Advanced Human Imaging,Software - Application,16035702
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,79035686
AI,C3.ai,Information Technology Services,3242625540
AIB,AIB Acquisition,Shell Companies,42368995
AIG,American International Group,Insurance - Diversified,46004681200
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,28538956
AIHS,Senmiao Technology,Credit Services,3732492
AIM,AIM ImmunoTech,Biotechnology,27297626
AIMAU,Aimfinity Investment I,Shell Companies,98651280
AIMD,Ainos,Biotechnology,11952341
AIN,Albany International,Textile Manufacturing,2943855251
AINC,Ashford,Asset Management,15266405
AIP,Arteris,Semiconductors,206597535
AIR,AAR Corp.,Aerospace & Defense,2453002500
AIRC,Apartment Income REIT,REIT - Residential,4818430540
AIRE,reAlpha Tech,Real Estate Services,133825488
AIRG,Airgain,Communication Equipment,34881958
AIRI,Air Industries Group,Aerospace & Defense,9754346
AIRS,AirSculpt Technologies,Medical Care Facilities,337251516
AIRT,Air T,Integrated Freight & Logistics,47479088
AIT,Applied Industrial Technologies,Industrial Distribution,6402376800
AITR,AI Transportation Acquisition,Shell Companies,83889188.75
AIU,Meta Data,Education & Training Services,17829854043
AIV,Apartment Investment and Management Company,REIT - Residential,1040726400
AIXI,Xiao-I,Software - Application,159959838
AIZ,Assurant,Insurance - Specialty,8818391808
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,52023264000
AJX,Great Ajax,REIT - Mortgage,135973530
AKA,a.k.a. Brands Holding,Internet Retail,113254937
AKAM,Akamai Technologies,Software - Infrastructure,17256689120
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1599756
